plugin_name,network_activated,main_site_es_ES,main_site_es_MX,main_site_es_CL,main_site_es_CO,main_site_en_GB,main_site_en_US,main_site_de_DE,main_site_de_AT,main_site_fr_FR,qa_site_es_ES,qa_site_es_MX,qa_site_es_CL,qa_site_es_CO,qa_site_en_GB,qa_site_en_US,qa_site_de_DE,qa_site_de_AT,qa_site_fr_FR,forum_site_es_ES,forum_site_es_MX,forum_site_es_CL,forum_site_es_CO,forum_site_en_GB,forum_site_en_US,forum_site_de_DE,forum_site_de_AT,forum_site_fr_FR
bbpress,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
cleantalk-spam-protect,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact-form-7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
clinica,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
dw-question-answer,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,
fabricante,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
cookie-law-info,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lente-intraocular,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
megamenu,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
megamenu-pro,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
nc-sync,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
opinion-doctor,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
posts-to-posts,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
proveedor,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
redirection,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
w3-total-cache,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
wordfence,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
wp-user-avatar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
yet-another-related-posts-plugin,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
wordpress-seo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
eloquent,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
nc-user-manager,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
nc-login-registration,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
