msgid,msgctxt,domain,es_ES,en_GB,de_DE,fr_FR,es_MX,es_CL,es_CO,en_US,de_AT
¿Estás pensando en Operarte de la Vista?,iol_main,iol-main,¿Estás pensando en Operarte de la Vista?,Thinking about having eye surgery?,Nachdenken über eine Augenoperation?,Vous pensez subir une chirurgie oculaire?,¿Estás pensando en Operarte de la Vista?,¿Estás pensando en Operarte de la Vista?,¿Estás pensando en Operarte de la Vista?,Thinking about having eye surgery?,Nachdenken über eine Augenoperation?
Regístrate en NuevoCristalino. Es gratis,iol_main,iol-main,Regístrate en NuevoCristalino. Es gratis,"Register yourself in NewLens, it is free",Profitieren Sie von den Vorteilen von NeueLinsen. Es ist gratis,"Inscrivez-vous dans NouveauCristallin, c'est gratuit",Regístrate en NuevoCristalino. Es gratis,Regístrate en NuevoCristalino. Es gratis,Regístrate en NuevoCristalino. Es gratis,"Register yourself in NewLens, it is free",Profitieren Sie von den Vorteilen von NeueLinsen. Es ist gratis
Tu Área Privada,header,iol-main,Tu Área Privada,Your Private Area,Dein privater Bereich,Votre espace privé,Tu Área Privada,Tu Área Privada,Tu Área Privada,Your Private Area,Dein privater Bereich
Editar Perfil,header,iol-main,Editar Perfil,Edit profile,Profil ausfüllen,Modifier le profil,Editar Perfil,Editar Perfil,Editar Perfil,Edit profile,Profil ausfüllen
Encuentra la mejor opción para tu operación ocular.,interaction-home,iol-main,Encuentra la mejor opción para tu operación ocular.,Find the best option for your eye operation.,Finden Sie die besten Optionen für Ihre Augenoperation,Trouvez la meilleure option pour votre opération des yeux.,Encuentra la mejor opción para tu operación ocular.,Encuentra la mejor opción para tu operación ocular.,Encuentra la mejor opción para tu operación ocular.,Find the best option for your eye operation.,Finden Sie die besten Optionen für Ihre Augenoperation
Aprovecha las ventajas de NuevoCristalino. Es gratis.,interaction-home,iol-main,Aprovecha las ventajas de NuevoCristalino. Es gratis.,Take advantage of NewLens. It's free.,Profitieren Sie von den Vorteilen von NeueLinsen. Es ist gratis.,Profitez de NouveauCristallin. C'est gratuit.,Aprovecha las ventajas de NuevoCristalino. Es gratis.,Aprovecha las ventajas de NuevoCristalino. Es gratis.,Aprovecha las ventajas de NuevoCristalino. Es gratis.,Take advantage of NewLens. It's free.,Profitieren Sie von den Vorteilen von NeueLinsen. Es ist gratis.
Con cualquier duda recuerda que puedes escribirnos también a info@nuevocristalino.es,interaction-home,iol-main,Con cualquier duda recuerda que puedes escribirnos también a info@nuevocristalino.es,With any doubt remember that you can also write us to info@newlens.co.uk,Bei Fragen kannst Du uns auch eine mail an info@neuelinsen.com senden,N'oubliez pas que vous pouvez aussi nous écrire à info@nouveaucristallin.com,Con cualquier duda recuerda que puedes escribirnos también a info@nuevocristalino.es,Con cualquier duda recuerda que puedes escribirnos también a info@nuevocristalino.es,Con cualquier duda recuerda que puedes escribirnos también a info@nuevocristalino.es,With any doubt remember that you can also write us to info@newlens.co.uk,Bei Fragen kannst Du uns auch eine mail an info@neuelinsen.com senden
Soluciones para la Vista Cansada,interaction-home,iol-main,Soluciones para la Vista Cansada,Solutions for Presbyopia,Lösungen zur Therapie der Alterssichtigkeit,Solutions pour la presbyopie,Soluciones para la Vista Cansada,Soluciones para la Vista Cansada,Soluciones para la Vista Cansada,Solutions for Presbyopia,Lösungen zur Therapie der Alterssichtigkeit
Conozca que opciones hay hoy en día para no necesitar gafas de cerca.,interaction-home,iol-main,Conozca que opciones hay hoy en día para no necesitar gafas de cerca.,Know what options there are today for not needing near glasses,"Lernen Sie die Verfahren kennen, die Sie von der Lesebrille befreit.",Sachez quelles sont les options actuelles pour ne pas avoir besoin de lunettes de près.,Conozca que opciones hay hoy en día para no necesitar gafas de cerca.,Conozca que opciones hay hoy en día para no necesitar gafas de cerca.,Conozca que opciones hay hoy en día para no necesitar gafas de cerca.,Know what options there are today for not needing near glasses,"Lernen Sie die Verfahren kennen, die Sie von der Lesebrille befreit."
Nueva cirugía de cataratas con LÁSER,interaction-home,iol-main,Nueva cirugía de cataratas con LÁSER,New cataract surgery with LASER,Neue Laseroperation des Grauen Stars,Nouvelle chirurgie de la cataracte avec LASER,Nueva cirugía de cataratas con LÁSER,Nueva cirugía de cataratas con LÁSER,Nueva cirugía de cataratas con LÁSER,New cataract surgery with LASER,Neue Laseroperation des Grauen Stars
Conozca la útima técnica disponible para quitar las cataratas con Láser.,interaction-home,iol-main,Conozca la útima técnica disponible para quitar las cataratas con Láser.,Discover the latest technique available to remove cataracts with Laser.,"Kennen Sie die neueste Technologie, um den Grauen Star mit einem Laser zu entfernen?",Connaître la dernière technique disponible pour éliminer les cataractes avec le laser.,Conozca la útima técnica disponible para quitar las cataratas con Láser.,Conozca la útima técnica disponible para quitar las cataratas con Láser.,Conozca la útima técnica disponible para quitar las cataratas con Láser.,Discover the latest technique available to remove cataracts with Laser.,"Kennen Sie die neueste Technologie, um den Grauen Star mit einem Laser zu entfernen?"
Clínicas especializadas en tu cirugía,interaction-home,iol-main,Clínicas especializadas en tu cirugía,Clinics specialized in your surgery,Spezialisierte Kliniken für Deine Operation,Cliniques spécialisées dans votre chirurgie,Clínicas especializadas en tu cirugía,Clínicas especializadas en tu cirugía,Clínicas especializadas en tu cirugía,Clinics specialized in your surgery,Spezialisierte Kliniken für Deine Operation
Vea una lista de clínicas especializadas en lentes intraoculares.,interaction-home,iol-main,Vea una lista de clínicas especializadas en lentes intraoculares.,See a list of clinics specialized in intraocular lenses.,Liste von spezialisierten Kliniken für Intraokularlinsen,Voir une liste de cliniques spécialisées dans les lentilles intra-oculaires.,Vea una lista de clínicas especializadas en lentes intraoculares.,Vea una lista de clínicas especializadas en lentes intraoculares.,Vea una lista de clínicas especializadas en lentes intraoculares.,See a list of clinics specialized in intraocular lenses.,Liste von spezialisierten Kliniken für Intraokularlinsen
Vea las lentes adecuadas para su caso.,interaction-home,iol-main,Vea las lentes adecuadas para su caso.,See the right lenses for your case.,Geeignete Intraokularlinsen für Deine Operation,Voir les implants intraoculaires pour votre cas.,Vea las lentes adecuadas para su caso.,Vea las lentes adecuadas para su caso.,Vea las lentes adecuadas para su caso.,See the right lenses for your case.,Geeignete Intraokularlinsen für Deine Operation
